file_id,project_id,file_name,file_type
1374,247,Dr_Akinyemi_PhD_Updated_19_6_27042020.nvp,nvp
19995,2869,Micatka_AtlastiCoding.qdpx,qdpx
20179,2873,Mannheimer_Redacted_Interview_Analysis.nvpx,nvpx
20180,2873,Mannheimer_Redacted_Interview_Analysis.qdpx,qdpx
21246,2897,Steeves_FocusGroup_Codebook.qdc,qdc
21253,2897,Steeves_Interview_Codebook.qdc,qdc
27212,2964,Hegarty_QDA-Project_NVivo.nvp,nvp
27213,2964,Hegarty_QDA-Project_REFI-QDA-Exchange.qdpx,qdpx
30855,2980,Burke_EDI_NENA.NVivoProject.2017.nvp,nvp
42818,3631,Polish debates on higher education party manifestos.qdpx,qdpx
42819,3631,Polish debates on higher education party manifestos.mx20,mx20
42820,3631,Polish debates on higher education party manifestos.mx22,mx22
42823,3633,SBOM data analysis_backup-20230125-232849.mx22,mx22
42824,3633,SBOM data analysis_backup-20230124-215119.mx22,mx22
42825,3634,MAXQUDA coding and data extraction.mx20,mx20
42826,3635,Prosecution_Appeals_Briefs_V1.qdpx,qdpx
42827,3636,International_Criminal_Law_Charging_Document_Database_v6.qdpx,qdpx
42828,3637,Sensing Risk (bertisum 2020-04-02).qdpx,qdpx
42829,3638,International Criminal Law Charging Document Database v7.qdpx,qdpx
120752,3786,FF1_B_QIA_in_MAXQDA_public.mx24,mx24
120757,3787,LLM_lowcode.mx20,mx20
120758,3787,Traditional_lowcode.mx20,mx20
120760,3788,Análisis_Primer_Instrumento.hpr7,hpr7
120761,3788,Análisis_Cuali_Segunda_Fase.hpr7,hpr7
120770,3789,workshop KPI.nvpx,nvpx
120779,3789,KPI - Diagnosis cycle.nvpx,nvpx
120781,3789,KPI - cycle de validation.nvpx,nvpx
120801,3790,Memes Project.qdpx,qdpx
137085,4813,Italian parties.nvpx,nvpx
137242,4833,MQS 4.nvp,nvp
137245,4833,MQS Study using PSI Codes 7.nvp,nvp
138537,4958,Experteninterviews.mx22,mx22
138575,4960,Qualitative_Data_NVivo.nvp,nvp
138576,4961,AZ project most recent 11 8 22.nvp,nvp
138885,4972,Coding Low-end Interviews_sortiert anonym.mx20,mx20
140025,5047,v. Nvivo_Public repository.nvp,nvp
141183,5119,Kastner Senior Seminar Project WORKING.mx5,mx5
149829,5535,"Nvivo file – Press data, European Commission, DG Trade, 1989-2025.nvpx",nvpx
149941,5548,MAXQDA text analyzed A populist virus Frontiers.mx20,mx20
149959,5550,NGEU_Framing_replication-data_anonym.mx24,mx24
151702,5642,salvador.mod,.mod
151704,5643,ecuador.mod,.mod
152647,5731,08 Dibbets_20111111_video.MOD,mod
152649,5731,09 Dibbets_20111111_video.MOD,mod
152654,5731,02 Shortest_Day_20111111_video.MOD,mod
152655,5731,07 Dibbets_20111111_video.MOD,mod
152657,5731,01 Shortest_Day_20111111_video.MOD,mod
152665,5731,03 Shorest_Day_20111111_video.MOD,mod
153761,5836,Longitudinaal fietsen met tegenwind 16-2.atlproj,atlproj
163114,5997,Schouten_20190612_video 1-3.MOD,mod
163115,5997,Schouten_20190612_video 2-3.MOD,mod
163119,5997,Schouten_20190612_video 3-3.MOD,mod
163654,6099,Schouten_20190226_video 4-4.MOD,mod
163660,6099,Schouten_20190226_video 2-4.MOD,mod
163664,6099,Schouten_20190226_video 3-4.MOD,mod
163665,6099,Schouten_20190226_video 1-4.MOD,mod
163746,6116,06 Baltussen_20111111_video.MOD,mod
163788,6122,05 Fletcher_20111111_video.MOD,mod
163789,6122,04 Fletcher_20111111_video.MOD,mod
171887,6430,Procesevaluatie 2.1.qdc,qdc
176715,6577,International_Criminal_Law_Charging_Document_Database_v6.qdpx,qdpx
176717,6577,International Criminal Law Charging Document Database v6.mx20,mx20
176719,6577,International Criminal Law Charging Document Database v7.mx20,mx20
176720,6577,International Criminal Law Charging Document Database v7.qdpx,qdpx
199513,7966,Deelonderzoek OD.qdpx,qdpx
199545,7966,Deelonderzoek PZ.qdpx,qdpx
199574,7966,Dokters van de Wereld.qdpx,qdpx
199583,7966,Deelonderzoek ODM SH.qdpx,qdpx
199597,7966,Deelonderzoek LVB.qdpx,qdpx
206988,8086,4 Primary documents.qdpx,qdpx
206989,8086,5 Processed data.qdpx,qdpx
207547,8110,Prosecution_Appeals_Briefs_V1.qdpx,qdpx
207548,8110,Prosecution_Appeals_Briefs_V1.mx20,mx20
208535,8140,Sensing Risk (bertisum 2020-04-02).qdpx,qdpx
211000,8176,UGMStaticScen_Kampala.mod,mod
211058,8176,bigdomPlusLCMAPS.mod,mod
211078,8176,compfrc.mod,mod
211434,8176,explicitspf.mod,mod
222703,8380,PHD intercultural Bible reading forgiveness Export.atlproj,atlproj
225668,8510,20160727PBdata.atlcd.hpr7,hpr7
274428,11571,EFL_ILP_ScopingReview_CodedData_20250718.qdpx,qdpx
274434,11573,Polish debates on higher education party manifestos.qdpx,qdpx
274435,11573,Polish debates on higher education party manifestos.mx20,mx20
274437,11573,Polish debates on higher education party manifestos.mx22,mx22
274439,11574,Qual Coder Coding File .qdpx,qdpx
274457,11575,1_PLANET4B_QDPXProject-BusinessModels_Pisa_20250919_Qualitative-Analysis-Project.qdpx,qdpx
274504,11576,23_PLANET4B_QDPXProject-FrameAnalysis_Pisa_20250514_Qualitative-Analysis-Project.qdpx,qdpx
274530,11578,LAC.qdpx,qdpx
274531,11578,Europe.qdpx,qdpx
274532,11578,Indian.qdpx,qdpx
274547,11579,Supplementary Data S2.3 Thematic Coding Data Extraction.qdpx,qdpx
274550,11580,Supplementary Analysis S1.2 Thematic Coding Analysis qdpx Format.qdpx,qdpx
274559,11581,KODING DATA KUALITATIF-WAWANCARA (Karunia Wijayanti 2023-11-17) (2).qdpx,qdpx
274561,11582,sthv electricity disruption 2024-04-18.qdpx,qdpx
274563,11583,Investigating Deception Findings - Evans Cameron et al - Coded data.nvp,nvp
274568,11583,Investigating Deception Findings - Evans Cameron et al - Coded data QDPX.qdpx,qdpx
274569,11584,needs assessment interviews (NVivo R14.23.0).qdpx,qdpx
274570,11585,20210813 Full project and analysis SHB.qdpx,qdpx
274574,11586,Disability Data for PLOSONE.qdpx,qdpx
274576,11587,CODED TRANSCRIPTS.qdpx,qdpx
274587,11588,Survey1_(NVivo_R1).nvpx,nvpx
274596,11590,Bio-engineering copy.nvpx,nvpx
274598,11591,DH Mac_RR_Dec 7 (NVivo R14.23.0).nvpx,nvpx
274609,11593,Student Voice Thesis.nvpx,nvpx
274610,11594,China Travel.nvpx,nvpx
274611,11595,Poland- BRI 2024.nvpx,nvpx
274613,11596,002-Text-analysis (NVivo R1) (NVivo R14.23.0).nvpx,nvpx
274614,11597,nozden (1) (2).nvpx,nvpx
274616,11598,pone.0286974.s019.nvpx,nvpx
274617,11599,Study2-Interview(NVivo 12).nvpx,nvpx
274618,11600,thesis Mac version.nvpx,nvpx
274619,11600,Thesis.nvp,nvp
